aliasType,aliasValue,type,firstName,secondName,lastName,secondLastName,proprietary,identification,bankAccountType,bankAccountNumber,routerReference,targetSpbviCode,bankId,consented,received,dispatched,comentario
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""NIT""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC2_CP6 Validar Número de identificación tributaria  NIT
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PEP""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC2_CP7 Validar Permiso especial de permanencia  PEP
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC2_CP8 Validar Pasaporte  PAS
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC3_CP1 Validar Natural  N
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""SVGS""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC4_CP1 Validar Cuenta de Ahorros  CAHO
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""CACC""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC4_CP2 Validar Cuenta Corriente  CACC
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""DBMO""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC4_CP3 Validar Depósito de Bajo Moto  DBMO
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""DORD""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC4_CP4 Validar Depósitos ordinarios  DORD
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""DBMI""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",DC4_CP5 Validar Depósitos e bajo monto inclusivos  DBMI
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""DORD""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",Validar que segundo nombre al enviarlo vacio
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""""","""PA""","""{{identificacion}}""","""DBMI""","""{{randomNumericValue}}""","""$bancorojo""","""TFY""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",Validar que segundo apellido al enviarlo vacio
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""DBMI""","""{{randomNumericValue}}""","""$bancorojo""","""SRV""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",Validar al crear una llave con el valor de SVR
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{id_aleatorio}}""","""DBMI""","""{{randomNumericValue}}""","""$bancorojo""","""SRV""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",Validar al crear una llave valor alfanumerico en el numero de identificacion
"""PHONE""","""{{randomCel}}""","""PERSON""","""CARLOS""","""ANDRES""","""VALENZUELA""","""MOLINA""","""PA""","""{{identificacion}}""","""DBMI""","""{{randomNumericValue}}""","""$bancorojo""","""SRV""","""900504001""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""","""{{fecha_actual_formato_iso}}""",Validar al crear una llave valor numerico en el numero de identificacion
